date,close,turnover_rate_f,pct_chg
2010-07-06,2562.902,0.98,1.9999
2010-07-07,2580.477,0.88,0.6857
2010-07-08,2575.921,0.84,-0.1766
2010-07-09,2647.104,1.44,2.7634
2010-07-12,2676.218,1.44,1.0998
2010-07-13,2634.593,1.06,-1.5554
2010-07-14,2653.609,1.15,0.7218
2010-07-15,2608.519,0.99,-1.6992
2010-07-16,2616.128,0.85,0.2917
2010-07-19,2682.472,1.3,2.536
2010-07-20,2741.503,1.77,2.2006
2010-07-21,2747.335,1.71,0.2127
2010-07-22,2781.286,1.47,1.2358
2010-07-23,2793.076,1.56,0.4239
2010-07-26,2811.055,1.29,0.6437
2010-07-27,2795.724,1.2,-0.5454
2010-07-28,2863.724,1.92,2.4323
2010-07-29,2877.976,2.25,0.4977
2010-07-30,2868.846,1.47,-0.3172
2010-08-02,2917.275,1.68,1.6881
2010-08-03,2865.971,1.92,-1.7586
2010-08-04,2876.434,1.67,0.3651
2010-08-05,2850.829,1.58,-0.8902
2010-08-06,2897.659,1.76,1.6427
2010-08-09,2918.241,1.75,0.7103
2010-08-10,2832.638,1.84,-2.9334
2010-08-11,2850.211,1.29,0.6204
2010-08-12,2816.386,1.4,-1.1868
2010-08-13,2855.547,1.37,1.3905
2010-08-16,2922.083,1.9,2.3301
2010-08-17,2942.291,1.79,0.6916
2010-08-18,2937.362,1.65,-0.1675
2010-08-19,2955.395,1.79,0.6139
2010-08-20,2898.333,1.67,-1.9308
2010-08-23,2896.192,1.14,-0.0739
2010-08-24,2911.827,1.42,0.5398
2010-08-25,2843.023,1.48,-2.3629
2010-08-26,2850.093,1.13,0.2487
2010-08-27,2858.566,0.95,0.2973
2010-08-30,2915.01,1.53,1.9746
2010-08-31,2903.188,1.53,-0.4056
2010-09-01,2884.042,1.79,-0.6595
2010-09-02,2921.393,1.64,1.2951
2010-09-03,2920.205,1.69,-0.0407
2010-09-06,2975.09,2.18,1.8795
2010-09-07,2983.108,1.71,0.2695
2010-09-08,2980.967,1.69,-0.0718
2010-09-09,2926.46,1.89,-1.8285
2010-09-10,2932.554,1.51,0.2082
2010-09-13,2962.319,1.56,1.015
